text_customer,text_uber,intent,escalate,predicted_intent,predicted_escalate,generated_response,retrieved_evidence,helpfulness,grounding,actionability,appropriateness,judge_helpfulness,judge_grounding,judge_actionability,judge_appropriateness
@115877 what’s the deal when they don’t deliver your full order? This has now happened twice to my Mrs with no refund ? A want fed mate,"@367730 We'd be happy to further assist. Please share details here; https://t.co/xLLG6cfrJA, so our team can further review.",uber_eats,False,uber_eats,True,I’m sorry to hear that your order was incomplete and that you haven’t received a refund yet. Please send us a direct message with your email address and the details of the order so we can look into this for you. Thank you.,,3,2,3,3,3.0,3.0,3.0,3.0
@115873 does one get a small refund when your drivers cancel the trip? Waited 7mins and the trip got cancelled! We normally get charged for cancelling a trip 3mins after it’s booked! #daylightrobbery #getyouracttogether,@696321 Hi there! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,ride_booking_cancellation,False,refund,False,Hi there! I’m sorry to hear about the inconvenience. Please send us a note at https://t.co/593jusCquh so our team can review the situation and get back to you.,,2,2,2,3,2.0,3.0,3.0,3.0
@Uber_Support The link takes me to driver support?,"@694280 Sorry for that, Olivia! Please send us a note at https://t.co/o056uE8sfv and a member of our team will follow up further.",support_followup,False,support_followup,False,@Uber_Support We’re sorry for the confusion. Please send us a DM with your email address so we can look into the link issue and help you get the correct support page.,,3,3,3,3,2.0,3.0,2.0,3.0
@115873 can someone please explain to me how I can get ahold of uber I tried to email I'm not getting any responses back at all,@396222 We're here to help. We just sent you a DM.,support_followup,False,support_followup,True,"Hi there! I’m sorry you’re having trouble getting a response. Please send us a direct message with your account email address and a brief description of the issue, and we’ll connect you with a member of our support team right away. Thank you for your patience.",,2,2,2,3,3.0,3.0,3.0,3.0
@Uber_Support what's the support email?,@148943 We've followed up via DM.,support_followup,False,support_followup,False,@Uber_Support Here to help! Send us a note at https://t.co/Md7v036OoC so we can assist.,,1,2,2,2,3.0,3.0,3.0,3.0
"My uber app is an asshole. The pick up address shows up correctly on my end, but it sends the driver to a place down the street 🙃",@340639 We apologize for any inconvenience. Kindly send us a note at: https://t.co/u3MyknJaaN so we can connect.,account_access_security,True,location_app_issue,False,Hi there! I’m sorry you’re having trouble with the pickup location. Please send us a direct message with your email address so we can look into this for you. Thank you!,,3,2,2,3,2.0,3.0,3.0,3.0
@Uber_Support check dms please,@729098 We can definitely take a look. Can you please send us a DM with your email address? From there we'll be able to assist further.,support_followup,False,support_followup,False,@YourUsername We’ve just sent you a message via DM. Please check your inbox for further details.,,2,3,3,2,3.0,3.0,3.0,3.0
"- Thanks @Uber_Support , my account is activated now.","@404868 You're welcome, Ahmed. Let us know if you have any other questions or concerns. We're here to help!",support_followup,False,support_followup,False,"Thanks for letting us know! If you need anything else, just let us know.",,2,2,3,3,2.0,3.0,2.0,3.0
"Its nt a cab service,its an extortion service.Driver refuses to come,talkes in vulgar way,n they charges fee for that.
@119983 @115873",@267043 Sorry to hear this was your experience! Please send us a note at https://t.co/fS660rQ8NQ so our team can connect right away.,driver_issue,True,driver_issue,True,I’m sorry you’re having trouble with the driver. Please send us a note here so we can look into the situation: https://t.co/JyzdtQmyxT. We’ll review the issue and get back to you as soon as possible.,,2,2,2,3,2.0,3.0,3.0,3.0
"@Uber_Support we need a way to complain about drivers who accept the trip, talk to us and don't turn up",@491246 We're here to help! Send us a DM with your email address so we can connect.,driver_issue,False,driver_issue,True,I’m sorry you’re experiencing this. Please let us investigate by contacting Uber Support directly. You can reach us through the support link in the app or by sending a note here: https://t.co/e8HVoseGiP. We’ll be in touch as soon as possible.,,3,3,3,3,2.0,3.0,3.0,3.0
